gene.name	log2fc	fdr	padj
PSN0052	2.052536292	0	0.021863155
PSN0052	2.143220192	0.053047453	1
PSN0052	2.247498817	0.099168565	0.484526829
73  D12	1.754040221	0	0.989722269
73  D12	1.819273147	0	0.86262511
6  H1	2.339436869	0.017629732	0.145153338
6  H1	2.544743895	0.059137853	0.040552254
46  A5	2.123726279	0.041315951	0.520988143
46  A5	2.123212399	0.043460159	0.272665037
17  F11	2.405129413	0.109974312	0.627595841
17  F11	2.472328423	0.108458613	0.50877332
PSN1428	0.900105139	0	0.219545315
PSN1428	1.121493386	0	1
PSN1428	1.251762971	0	0.021080385
PSN1428	1.296820853	0	0.50719184
PSN0100	-1.529728533	0.015295194	0.199949356
PSN0100	-1.52863779	0.02996395	1
PSN0100	-1.576815948	0.061802732	0.808573249
PSN0100	-1.558656821	0.050749582	0.475159834
PSN0080	-1.622784269	0.069699974	0.852054289
PSN0080	-1.60406737	0.076632871	0.80663229
PSN0080	-1.566559068	0.018424386	0.973098841
PSN0080	-1.58561849	0.044841651	0.394275117
PSN0080	-1.75638388	0.08278203	0.80362735
PSN0080	-1.676667638	0	0.892404158
PSN0060	-2.303781262	0	1
PSN0060	-2.280574997	0	0.985628754
PSN0060	-2.413406311	0	1
PSN0060	-2.450282666	0	0.977769016
PSN0060	-2.479020776	0	0.26115534
PSN0060	-2.477368112	0	0.738079282
PSN0060	-2.437570427	0.028054792	0.94282058
PSN0060	-2.471447297	0.01250057	1
PSN0060	-2.061026264	0.063401963	0.56935905
PSN0060	-2.089538345	0.06454824	1
PSN0048	-1.728212585	0.104050696	0.940080227
PSN0048	-1.634277007	0	1
PSN0048	-0.921261127	0	1
PSN0048	-1.023059787	0	1
PSN0048	-1.667696756	0.058948412	0.145326009
PSN0048	-1.653616344	0.070363227	1
PSN0048	-1.731363936	0.10814574	1
PSN0048	-1.720968645	0.109308382	0.983123629
PSN0048	-1.494333221	0	0.559368705
PSN0048	-1.560472174	0	1
165  G9	-1.368621222	0	0.001462041
165  G9	-1.499634181	0	1
135  H6	-1.282288579	0	0.350073284
135  H6	-1.30226336	0	0.623281498
135  E4	-2.541613194	0.015858904	0.384980236
135  E4	-2.527983419	0.010294847	0.923790247
PSN0001	0.359313162	28.41538881	0.68292704
PSN0001	0.387681794	24.05275441	0.520827589
PSN0001	0.493808914	5.751921511	0.253675431
PSN0001	0.513993789	3.423660813	0.172469932
PSN0001	0.343921943	28.58998107	0.002543644
PSN0001	0.362727314	30.05819003	0.610282342
PSN0001	0.523417961	6.679865338	0.253897309
PSN0001	0.522625113	12.83384688	0.991424457
PSN0001	0.388870237	16.66785528	1
PSN0001	0.388182199	15.28099192	0.721965661
PSN0001	0.410230908	15.56930361	0.626577431
PSN0001	0.41257006	14.95702769	1
PSN0001	0.472982156	18.24889939	0.759452643
PSN0001	0.470757007	18.41270239	0.057053733
PSN0001	0.288628719	31.36034703	0.03245032
PSN0001	0.267433962	39.84119271	0.112374045
PSN0001	0.403165651	18.07404157	1
PSN0001	0.352578398	22.55296707	0.885879086
PSN0001	0.474820978	7.833289092	0.390597768
PSN0001	0.455939807	7.971476592	0.347395406
PSN0001	0.578323599	1.942539925	0.508347033
PSN0001	0.538445119	4.253857321	0.427435926
PSN0001	0.411270508	13.38267217	0.737388066
PSN0001	0.445353258	8.362918214	0.437071332
PSN0001	0.367515121	20.73636493	0.879164999
PSN0001	0.420863986	10.41656451	0.452289063
PSN0001	0.298765503	38.20601699	0.934818798
PSN0001	0.297395535	35.37623796	0.798477787
PSN0001	0.380039771	17.55524184	1
PSN0001	0.380830024	18.3974582	1
PSN0001	0.574731197	2.559057449	1
PSN0001	0.565294061	2.07281283	0.743709862
PSN0001	0.525656097	3.097076624	1
PSN0001	0.546411199	2.959111485	0.182625741
PSN0001	0.491774864	10.75903083	1
PSN0001	0.620509413	4.122497071	1
PSN0001	0.409904521	22.89400756	1
PSN0001	0.46993736	13.48545893	0.759336103
PSN0001	0.325616075	37.9661433	0.912121095
PSN0001	0.355147245	31.26382194	0.375264657
PSN0001	0.366842914	21.36822956	1
PSN0001	0.365290133	17.22101056	0.576046652
PSN0001	0.440517125	10.29562218	0.594504383
PSN0001	0.463372846	9.300896211	0.764248385
PSN0001	0.34811196	31.26234023	0.905706343
PSN0001	0.388759671	26.14482624	0.738452474
PSN0001	0.523614121	5.379534926	0.047042299
PSN0001	0.548991487	2.867719934	1
PSN0001	0.401036426	30.84085098	3.74309E-07
PSN0001	0.445155217	25.35281955	0.13604576
PSN0001	0.468217505	7.542157232	0.809983659
PSN0001	0.455603637	10.09250706	0.406575709
PSN0001	0.521358091	8.672499873	0.699436406
PSN0001	0.48950649	9.016545524	0.329928131
PSN0001	0.513136744	8.607386172	0.852232502
PSN0001	0.622948499	5.206286258	1
PSN0001	0.427057631	21.15399483	0.792813426
PSN0001	0.439418624	19.26010305	0.248424902
PSN0001	0.456379281	10.54673219	0.351850913
PSN0001	0.462719265	10.1434474	0.173681666
PSN0001	0.525383745	5.356048885	0.338106048
